epoch,train_loss,val_loss,meanIoU,meanDice,precision,recall,accuracy
1.0,1.881927251815796,1.749220371246338,0.04488947242498398,0.08433151990175247,"[tensor([0.0484], device='cuda:0')]","[tensor([0.3993], device='cuda:0')]","[tensor([0.4164], device='cuda:0')]"
2.0,1.759122371673584,1.7450114488601685,0.04518013447523117,0.08484680950641632,"[tensor([0.0488], device='cuda:0')]","[tensor([0.4050], device='cuda:0')]","[tensor([0.4129], device='cuda:0')]"
3.0,1.681649923324585,1.738698959350586,0.04551044851541519,0.08541413396596909,"[tensor([0.0491], device='cuda:0')]","[tensor([0.4092], device='cuda:0')]","[tensor([0.4115], device='cuda:0')]"
4.0,1.62705397605896,1.730504035949707,0.045929260551929474,0.08614291250705719,"[tensor([0.0495], device='cuda:0')]","[tensor([0.4115], device='cuda:0')]","[tensor([0.4138], device='cuda:0')]"
5.0,1.5855824947357178,1.720566749572754,0.04621884226799011,0.08664342015981674,"[tensor([0.0498], device='cuda:0')]","[tensor([0.4126], device='cuda:0')]","[tensor([0.4159], device='cuda:0')]"
6.0,1.551479697227478,1.7090935707092285,0.04652740806341171,0.08717671036720276,"[tensor([0.0502], device='cuda:0')]","[tensor([0.4130], device='cuda:0')]","[tensor([0.4190], device='cuda:0')]"
7.0,1.5216996669769287,1.696101188659668,0.04693053290247917,0.08787365257740021,"[tensor([0.0506], device='cuda:0')]","[tensor([0.4131], device='cuda:0')]","[tensor([0.4238], device='cuda:0')]"
8.0,1.494267225265503,1.6818023920059204,0.047811657190322876,0.08942581713199615,"[tensor([0.0516], device='cuda:0')]","[tensor([0.4135], device='cuda:0')]","[tensor([0.4342], device='cuda:0')]"
9.0,1.4685217142105103,1.6657562255859375,0.04842027276754379,0.09049317240715027,"[tensor([0.0523], device='cuda:0')]","[tensor([0.4128], device='cuda:0')]","[tensor([0.4422], device='cuda:0')]"
10.0,1.4438395500183105,1.648468017578125,0.04928777366876602,0.0920218974351883,"[tensor([0.0533], device='cuda:0')]","[tensor([0.4121], device='cuda:0')]","[tensor([0.4531], device='cuda:0')]"
11.0,1.4200040102005005,1.6299477815628052,0.0503891222178936,0.09393645823001862,"[tensor([0.0545], device='cuda:0')]","[tensor([0.4109], device='cuda:0')]","[tensor([0.4664], device='cuda:0')]"
12.0,1.39691162109375,1.6100995540618896,0.051892317831516266,0.09652341902256012,"[tensor([0.0561], device='cuda:0')]","[tensor([0.4095], device='cuda:0')]","[tensor([0.4833], device='cuda:0')]"
13.0,1.3744664192199707,1.5894672870635986,0.053999852389097214,0.10013332217931747,"[tensor([0.0584], device='cuda:0')]","[tensor([0.4081], device='cuda:0')]","[tensor([0.5046], device='cuda:0')]"
14.0,1.3526955842971802,1.567840337753296,0.057003676891326904,0.10522417724132538,"[tensor([0.0617], device='cuda:0')]","[tensor([0.4084], device='cuda:0')]","[tensor([0.5300], device='cuda:0')]"
15.0,1.3311535120010376,1.5456337928771973,0.060995448380708694,0.11194489151239395,"[tensor([0.0663], device='cuda:0')]","[tensor([0.4112], device='cuda:0')]","[tensor([0.5591], device='cuda:0')]"
16.0,1.3099887371063232,1.5231504440307617,0.06672750413417816,0.12154434621334076,"[tensor([0.0733], device='cuda:0')]","[tensor([0.4196], device='cuda:0')]","[tensor([0.5933], device='cuda:0')]"
17.0,1.28916597366333,1.5010535717010498,0.0751645416021347,0.13543269038200378,"[tensor([0.0839], device='cuda:0')]","[tensor([0.4363], device='cuda:0')]","[tensor([0.6319], device='cuda:0')]"
18.0,1.268181562423706,1.4798073768615723,0.08670686185359955,0.1539451777935028,"[tensor([0.0986], device='cuda:0')]","[tensor([0.4604], device='cuda:0')]","[tensor([0.6719], device='cuda:0')]"
