epoch,train_loss,val_loss,test_loss,mIoU,mDice,f2_score,precision,recall,accuracy
1,0.692664981,0.645105481,-1,0.144571826,0.25262168,0.289882481,0.208051071,0.321495384,0.88339293
2,0.659382105,0.654262841,-1,0.129128084,0.228721753,0.261597335,0.189111561,0.289321303,0.880390882
3,0.655871332,0.659957469,-1,0.131795421,0.232896164,0.287916809,0.176637441,0.341739774,0.862003744
4,0.651048303,0.63177669,-1,0.138356507,0.243081167,0.301391006,0.183811441,0.358764112,0.863042116
5,0.645388365,0.631107748,-1,0.143624365,0.251174003,0.311441183,0.189921126,0.370746195,0.864492536
6,0.642261028,0.631005704,-1,0.149959594,0.260808468,0.327932298,0.194466725,0.395852208,0.862453759
7,0.636541486,0.625100374,-1,0.153433129,0.266045988,0.335761994,0.197648108,0.406834692,0.862402499
8,0.630397677,0.624372125,-1,0.154428557,0.267541081,0.334145159,0.200824842,0.400637329,0.865530312
9,0.630589128,0.624638259,-1,0.155070305,0.268503696,0.333090067,0.202924892,0.396706372,0.867501438
10,0.627138972,0.639364898,-1,0.152908117,0.265256375,0.324139059,0.203610405,0.380440116,0.870807707
11,0.624328792,0.619992256,-1,0.153908402,0.26676017,0.324485183,0.205754831,0.379187465,0.872221112
12,0.621643722,0.65395081,-1,0.15084596,0.262147963,0.314887106,0.204940289,0.363661587,0.874512494
13,0.62318939,0.649024189,-1,0.148628399,0.258792847,0.306817502,0.20524855,0.350134224,0.877057493
14,0.617935598,0.62588644,-1,0.149984285,0.26084578,0.310024083,0.206303492,0.354592621,0.876814008
15,0.616611063,0.620762289,-1,0.150652677,0.261856019,0.309461594,0.208419532,0.352141201,0.878304183
16,0.614484131,0.631717205,-1,0.149846539,0.260637462,0.306350797,0.20872733,0.34691447,0.879351079
17,0.612819612,0.624120355,-1,0.152891546,0.26523146,0.315510243,0.209570527,0.361151516,0.877342165
18,0.612493098,0.616785824,-1,0.155748144,0.26951918,0.322780341,0.211385548,0.371756911,0.876473963
